message_id,contact_id,platform,timestamp,date,content,summary,full_text
265,5,kakao,2024-11-29 11:22:11,2024-11-29,혹시 지금 잠깐 통화 가능하실까요?,통화 요청,
236,4,sms,2024-11-30 10:38:44,2024-11-30,"[(주)코어테크] 최수아님, 오후 2시에 본사 1층 회의실에서 뵙겠습니다.",회의 일정 안내,
45,1,sms,2024-12-01 00:16:31,2024-12-01,"[(주)넥스트] 김민준님, 오후 4시에 강남역 카페에서 뵙겠습니다.",일반 업무 메시지,
301,5,sms,2024-12-01 01:35:23,2024-12-01,"[(주)코어테크] 정도윤님, 오후 4시에 강남역 카페에서 뵙겠습니다.",일반 업무 메시지,
18,1,slack,2024-12-01 02:03:58,2024-12-01,오늘 공유해주신 경쟁사 분석 자료 잘 받았습니다. 감사합니다.,자료 수신 확인,
149,3,kakao,2024-12-01 04:56:18,2024-12-01,넵 확인했습니다! 👍,일반 업무 메시지,
223,4,kakao,2024-12-02 00:46:51,2024-12-02,혹시 지금 잠깐 통화 가능하실까요?,통화 요청,
212,4,slack,2024-12-02 05:38:30,2024-12-02,사용자 매뉴얼 초안 검토 요청드립니다. 피드백 부탁드립니다.,일반 업무 메시지,
41,1,email,2024-12-04 02:10:32,2024-12-04,"제목: 제목: 신규 서비스 제안서 발송

안녕하세요, 김민준님.

요청하신 기술 제휴 제안서 보내드립니다.
궁금한 점 있으시면 언제든지 연락주세요.

첨부: 기술 제휴_제안서.pdf

감사합니다.
나 드림",제안서 발송,
299,5,kakao,2024-12-04 02:50:51,2024-12-04,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
278,5,kakao,2024-12-04 12:10:24,2024-12-04,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
147,3,kakao,2024-12-04 14:09:49,2024-12-04,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
144,3,sms,2024-12-04 16:40:17,2024-12-04,요청하신 자료 이메일로 발송했습니다. 확인 부탁드립니다.,자료 발송 확인 요청,
241,4,kakao,2024-12-05 00:17:58,2024-12-05,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
201,4,sms,2024-12-05 15:12:09,2024-12-05,"[(주)솔루션랩] 최수아님, 오후 4시에 온라인 (Zoom)에서 뵙겠습니다.",일반 업무 메시지,
73,2,sms,2024-12-06 04:23:28,2024-12-06,회의 시간 10분 전입니다. 곧 시작하겠습니다.,일반 업무 메시지,
64,2,sms,2024-12-06 07:56:56,2024-12-06,회의 시간 10분 전입니다. 곧 시작하겠습니다.,일반 업무 메시지,
240,4,phone,2024-12-07 00:31:34,2024-12-07,"네, 최수아입니다...",일반 업무 메시지,"네, 최수아입니다. 아, 이대리님이시군요. 네, 다음 주 회의 말씀이시죠? 저희 팀은 화요일 오후 2시나 수요일 오전 10시가 괜찮은데, 언제가 편하실까요? 아, 수요일 10시요? 네, 좋습니다. 그럼 수요일 10시에 뵙는 것으로 알겠습니다. 필요한 자료는 미리 보내드리겠습니다. 네, 감사합니다."
162,3,slack,2024-12-07 21:18:34,2024-12-07,백엔드 개발 진행 상황 업데이트 드립니다. 현재 69% 완료되었습니다.,일반 업무 메시지,
