message_id,contact_id,platform,timestamp,date,content,summary,full_text
265,5,kakao,2024-11-29 11:22:11,2024-11-29,업무 관련하여 긴급히 확인할 사항이 있어 전화 통화를 요청드립니다. 가능한 시간 회신 부탁드립니다.,통화 요청,
236,4,sms,2024-11-30 10:38:44,2024-11-30,2024-11-30에 예정된 회의 참석을 위해 장소 및 시간을 안내드립니다. 참석 부탁드립니다.,회의 일정 안내,
45,1,sms,2024-12-01 00:16:31,2024-12-01,"[(주)넥스트] 김민준님, 오후 4시에 강남역 카페에서 뵙겠습니다.",일반 업무 메시지,
301,5,sms,2024-12-01 01:35:23,2024-12-01,"[(주)코어테크] 정도윤님, 오후 4시에 강남역 카페에서 뵙겠습니다.",일반 업무 메시지,
18,1,slack,2024-12-01 02:03:58,2024-12-01,공유해주신 자료를 정상적으로 수신하였습니다. 감사합니다.,자료 수신 확인,
149,3,kakao,2024-12-01 04:56:18,2024-12-01,넵 확인했습니다! 👍,일반 업무 메시지,
223,4,kakao,2024-12-02 00:46:51,2024-12-02,업무 관련하여 긴급히 확인할 사항이 있어 전화 통화를 요청드립니다. 가능한 시간 회신 부탁드립니다.,통화 요청,
212,4,slack,2024-12-02 05:38:30,2024-12-02,사용자 매뉴얼 초안 검토 요청드립니다. 피드백 부탁드립니다.,일반 업무 메시지,
41,1,email,2024-12-04 02:10:32,2024-12-04,요청하신 제안서를 첨부하여 발송드립니다. 검토 후 궁금한 점 있으시면 회신 부탁드립니다.,제안서 발송,
299,5,kakao,2024-12-04 02:50:51,2024-12-04,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
278,5,kakao,2024-12-04 12:10:24,2024-12-04,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
147,3,kakao,2024-12-04 14:09:49,2024-12-04,제우스 관련해서 간단하게 여쭤볼 게 있는데 시간 괜찮으신가요?,일반 업무 메시지,
